ID,HouseholdCharacteristics,Periods,MedianDevelopmentPurchasingPower_1,PersonsWithPurchasingPowerDecrease_2,PersonsWithPurchasingPowerIncrease_3,k_20thPercentile_4,k_40thPercentile_5,k_60thPercentile_6,k_80thPercentile_7
281,1013650,2018JJ00,-0.3,58.3,41.7,-3.4,-0.7,0.1,3.5
282,1013650,2019JJ00,0.7,31.9,68.1,-2.0,0.3,1.1,4.5
283,1013650,2020JJ00,1.3,28.3,71.7,-2.6,0.9,1.7,4.6
284,1013650,2021JJ00,-0.2,55.6,44.4,-2.9,-0.5,0.2,4.8
285,1013650,2022JJ00,-2.7,63.4,36.6,-5.2,-3.3,-1.1,4.5
286,1013700,2012JJ00,-1.2,67.4,32.6,-5.2,-1.8,-0.6,2.6
287,1013700,2013JJ00,-2.8,75.2,24.8,-7.7,-3.8,-1.8,1.0
288,1013700,2014JJ00,0.8,38.8,61.2,-3.7,0.1,1.5,4.6
289,1013700,2015JJ00,0.1,47.6,52.4,-3.8,-0.5,0.7,3.6
290,1013700,2016JJ00,0.9,37.8,62.2,-3.1,0.2,1.4,4.0
291,1013700,2017JJ00,-0.1,52.7,47.3,-3.7,-0.7,0.4,3.0
292,1013700,2018JJ00,-0.3,59.7,40.3,-3.2,-0.7,0.0,2.9
293,1013700,2019JJ00,0.7,31.5,68.5,-1.8,0.4,1.1,4.0
294,1013700,2020JJ00,1.2,28.6,71.4,-2.6,0.8,1.6,4.0
295,1013700,2021JJ00,-0.3,57.4,42.6,-2.8,-0.6,0.1,4.0
296,1013700,2022JJ00,-3.0,70.1,29.9,-5.4,-3.5,-2.3,3.1
297,1013750,2012JJ00,-1.6,57.5,42.5,-12.8,-4.0,0.6,7.6
298,1013750,2013JJ00,-1.5,55.8,44.2,-13.5,-4.2,1.1,8.8
299,1013750,2014JJ00,0.3,49.0,51.0,-12.2,-2.6,2.7,10.5
300,1013750,2015JJ00,0.6,47.1,52.9,-11.0,-1.8,2.9,11.2
301,1013750,2016JJ00,1.6,42.8,57.2,-10.1,-0.7,3.8,11.9
302,1013750,2017JJ00,0.6,46.8,53.2,-10.5,-1.4,2.9,12.0
303,1013750,2018JJ00,0.8,45.2,54.8,-9.9,-1.0,3.0,11.8
304,1013750,2019JJ00,1.3,43.6,56.4,-10.4,-0.9,3.6,12.1
305,1013750,2020JJ00,1.7,44.0,56.0,-12.5,-1.3,4.1,12.9
306,1013750,2021JJ00,1.4,45.2,54.8,-14.0,-1.8,4.7,14.3
307,1013750,2022JJ00,-0.1,50.5,49.5,-16.8,-3.8,2.7,11.7
308,1013800,2012JJ00,-1.3,64.2,35.8,-8.0,-2.3,-0.5,4.5
309,1013800,2013JJ00,-1.7,64.4,35.6,-8.6,-2.8,-0.7,4.7
310,1013800,2014JJ00,0.9,41.6,58.4,-5.7,-0.2,1.8,7.9
